40,May 19, 2023 17:31:54.451184221 -03,192.168.0.137,239.255.255.250,,,52159,1900,M-SEARCH,239.255.255.250:1900,Google Chrome/113.0.5672.94 Windows,,,,,,,,
41,May 19, 2023 17:31:54.466591761 -03,,,,,,,,,,,,,,,,,
42,May 19, 2023 17:31:54.493084038 -03,,,,,,,,,,,,,,,,,
43,May 19, 2023 17:31:54.493084143 -03,,,,,,,,,,,,,,,,,
44,May 19, 2023 17:31:54.527711191 -03,192.168.0.29,192.168.0.255,,,137,137,,,,,,,,,,,
45,May 19, 2023 17:31:54.544264854 -03,192.168.0.227,192.168.0.255,,,51234,8090,,,,,,,,,,,
46,May 19, 2023 17:31:54.584210500 -03,,,,,,,,,,,,,,,,,
47,May 19, 2023 17:31:54.621065923 -03,,,,,,,,,,,,,,,,,
48,May 19, 2023 17:31:54.637844274 -03,192.168.0.190,239.255.255.250,,,50442,1900,M-SEARCH,239.255.255.250:1900,Microsoft Edge/113.0.1774.42 Windows,,,,,,,,
49,May 19, 2023 17:31:54.776751427 -03,192.168.0.82,239.255.255.250,,,59789,1900,M-SEARCH,239.255.255.250:1900,Microsoft Edge/113.0.1774.42 Windows,,,,,,,,
50,May 19, 2023 17:31:54.776799212 -03,192.168.0.29,224.0.0.251,,,5353,5353,,,,,NPI3CF023.local,,,,,,
51,May 19, 2023 17:31:54.776949605 -03,,,,,5353,5353,,,,,NPI3CF023.local,,,,,,
52,May 19, 2023 17:31:54.777588947 -03,192.168.0.29,224.0.0.251,,,5353,5353,,,,,NPI3CF023.local,,,,,,
53,May 19, 2023 17:31:54.777669131 -03,,,,,5353,5353,,,,,NPI3CF023.local,,,,,,
54,May 19, 2023 17:31:54.792882168 -03,192.168.0.34,239.255.255.250,,,62640,1900,M-SEARCH,239.255.255.250:1900,Google Chrome/113.0.5672.127 Windows,,,,,,,,
55,May 19, 2023 17:31:55.049197669 -03,,,,,546,547,,,,,,,,,,,
56,May 19, 2023 17:31:55.158571972 -03,192.168.0.69,224.0.0.251,,,5353,5353,,,,,NPI3CB33E.local,,,,,,
57,May 19, 2023 17:31:55.158572085 -03,,,,,5353,5353,,,,,NPI3CB33E.local,,,,,,
58,May 19, 2023 17:31:55.158688590 -03,192.168.0.69,224.0.0.251,,,5353,5353,,,,,NPI3CB33E.local,,,,,,
59,May 19, 2023 17:31:55.158803279 -03,,,,,5353,5353,,,,,NPI3CB33E.local,,,,,,
60,May 19, 2023 17:31:55.159064048 -03,,,,,59511,5355,,,,,NPI3CB33E,,,,,,
61,May 19, 2023 17:31:55.159165630 -03,192.168.0.69,224.0.0.252,,,59511,5355,,,,,NPI3CB33E,,,,,,
62,May 19, 2023 17:31:55.159373403 -03,,,,,64058,5355,,,,,NPI3CB33E,,,,,,
63,May 19, 2023 17:31:55.159406808 -03,192.168.0.69,224.0.0.252,,,64058,5355,,,,,NPI3CB33E,,,,,,
64,May 19, 2023 17:31:55.160153897 -03,192.168.0.166,224.0.0.251,,,5353,5353,,,,,,NPI3CB33E.local,1,120,,,
65,May 19, 2023 17:31:55.160298906 -03,,,,,5353,5353,,,,,,NPI3CB33E.local,1,120,,,
66,May 19, 2023 17:31:55.161209050 -03,,,,,,,,,,,,,,,,,
67,May 19, 2023 17:31:55.234002937 -03,,,,,,,,,,,,,,,,,
68,May 19, 2023 17:31:55.265564017 -03,192.168.0.166,224.0.0.251,,,5353,5353,,,,,,NPI3CB33E.local,28,120,,,
69,May 19, 2023 17:31:55.265717064 -03,,,,,5353,5353,,,,,,NPI3CB33E.local,28,120,,,
70,May 19, 2023 17:31:55.292566797 -03,192.168.0.29,192.168.0.255,,,137,137,,,,,,,,,,,
71,May 19, 2023 17:31:55.445739924 -03,,,,,,,,,,,,,,,,,
72,May 19, 2023 17:31:55.586382179 -03,,,,,,,,,,,,,,,,,
73,May 19, 2023 17:31:55.598164125 -03,,,,,,,,,,,,,,,,,
74,May 19, 2023 17:31:55.622402331 -03,,,,,,,,,,,,,,,,,
75,May 19, 2023 17:31:55.641012359 -03,192.168.0.190,239.255.255.250,,,50442,1900,M-SEARCH,239.255.255.250:1900,Microsoft Edge/113.0.1774.42 Windows,,,,,,,,
76,May 19, 2023 17:31:55.782282202 -03,,,,,,,,,,,,,,,,,
